标题,总播放量,积累弹幕,时间,点赞,投币,收藏,转发,作者,关注量
【老番茄】我求婚啦！！,6336462,37876,2023/5/2 12:00,122.4万,124.4万,33.7万,8.5万,老番茄, 1849.8万
哈哈，甲方破防了,4407781,4676,2023/4/28 17:05,39.0万,6.8万,3.1万,1.3万,逗比的雀巢, 615.3万
“可是雪啊，飘进老爹的店”,137919,143,2023/5/3 10:13,1.2万,4129,2662,444,枫吹枫又落,多名up主参与
你眼中的“老阿姨”曾经也迷倒了整个世界！,3385519,4526,2023/4/29 12:13,14.2万,1.6万,7.9万,1.0万,Anzyl颜之有理, 1.9万
你好主持人，记者正在现场排队买小吃,1910898,289,2023/4/30 17:46,13.2万,1708,3675,1430,主持人yoyo酱, 151.5万
当你总觉得自己很独特时,4517964,1584,2023/4/28 22:33,89.0万,17.1万,16.3万,3.3万,大黑口, 3.5万
《 鸡 哥 天 下 第 一 》,1815305,2395,2023/4/30 16:46,36.9万,11.9万,11.2万,4.7万,哦呼w, 293.8万
惊鸿一瞥,270356,78,2023/5/2 11:39,6.2万,2614,1.5万,1013,子执子知, 2.3万
有一个会cos自己老婆的老婆是什么体验,929658,183,2023/4/30 17:13,3.8万,585,1.3万,496,欲寒暗信, 12.8万
中国人自己的李老师！女生宿舍《Super》运镜灯光秀,769744,572,2023/5/1 20:49,15.4万,2.3万,1.2万,3272,黑糖啵啵梅子酒, 16.2万
两年半时间画出这么几分钟动画,191957,396,2023/5/3 12:00,1.8万,1.1万,3762,494,鸑鷟残飞坠,多名up主参与
在广州萤火虫遇到了等身手办！,1217489,166,2023/5/1 17:22,11.4万,1642,1.4万,1595,努力的十八魔, 44.4万
“可是雪啊，飘进十年前的鬼畜区”,572330,665,2023/5/1 16:39,6.2万,2.4万,1.3万,1556,不服气的三好青年, 6.0万
关于我花300块都在淄博吃了什么…,3280603,901,2023/4/26 18:03,12.3万,1243,1.2万,8089,隆冬洋,1370
溺亡妻子死而复生，第一件事居然是生孩子？！经典网剧《灵魂摆渡》第二十四回《空墟之海》,530092,2429,2023/5/2 17:41,5.3万,1.8万,4007,376,小片片说大片, 633.2万
1级站撸爆杀腕豪！摸不到的数值怪！站撸无解！,201796,1620,2023/5/3 12:00,2.0万,1.2万,3813,124,王氏上单, 43.7万
帅小伙自制淄博烧烤，不用去淄博也能吃爽啦！,3185154,8425,2023/4/27 11:00,27.5万,5.1万,2.4万,5998,记录生活的蛋黄派, 806.8万
"【Minecraft】我们烧了张rtx4090,只为这300秒极致画面",1956155,2752,2023/4/29 11:30,20.5万,17.2万,8.1万,1.3万,LIF帧木得制作组,多名up主参与
有没有一瞬间信仰崩塌或者死心过？,1499667,1277,2023/4/28 20:00,17.8万,2.5万,6.8万,1968,他的日常时光, 29.1万
不好意思 买到真的了,3236418,250,2023/4/26 17:57,32.0万,7892,3.5万,9831,手工强子, 1.2万
你们这帮人食不食油饼啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,1784843,730,2023/5/2 10:19,17.8万,5740,2.3万,1.4万,沙雕小胖胖, 20.1万
我当爸爸了！,4159495,8586,2023/4/29 13:20,70.4万,25.5万,3.4万,4688,粤知一二, 333.5万
车展走了3万步，终于拍全了你们想看到所有。,978680,2161,2023/4/26 19:40,5.3万,4290,1.8万,1223,蔻蔻妮娜, 28.9万
联合国正式入驻B站！,7844178,27172,2023/4/28 19:59,101.8万,27.6万,12.6万,7.4万,联合国, 158.9万
想充钱了看看本视频,1995677,1426,2023/4/30 14:30,13.1万,4.8万,4.4万,6827,超神对线生活, 1.6万
乳此美好，你却只关注她的大小……,1596099,5677,2023/4/30 17:30,8.8万,2.1万,1.6万,3153,塑料叉FOKU, 207.9万
“可 是 雪 啊，我 丢 弃 了 梦 想”,229452,456,2023/5/1 10:01,1.9万,5663,5484,502,理性蒸发の猫子,多名up主参与
总统扫黄越扫越黄？天降猛男也救不了的国家——孟加拉【魔幻国度13】,664601,2706,2023/5/2 18:15,5.6万,7361,5395,778,太阳星sunstar, 265.9万
【黑塔】?你能忍受转圈圈的洗脑么??ω???,2162858,1249,2023/4/28 12:00,27.8万,6.3万,10.3万,2.6万,莉可Kurisu, 22.6万
“在这么冷的天，我内裤穿外边”,470597,404,2023/5/2 17:26,4.5万,4725,1.1万,4654,圆圆的滚滚h_, 3.5万
我知道你不是她，但有那么一瞬间我恍惚了,551723,197,2023/5/2 1:52,5.6万,997,7821,2232,修沟的修勾在修沟狗头,227
现在轮到我了…没意见吧？！,642940,356,2023/5/2 12:57,9.5万,6529,1.9万,8324,Yurin_幽陵, 5.6万
“所有人给我站一边，因为超人强我要发癫”,2658619,5299,2023/4/28 23:51,7.5万,1.2万,10.7万,4552,童年漫剪Y, 19.4万
女孩拿着满分试卷兑换冰淇淋，同行好友因没考到满分失望离开，女孩和店员接下来的举动太暖心了。,424655,74,2023/4/30 18:29,4.5万,1994,3265,1229,新民晚报, 8.4万
“名誉算什么？我不过就是一个吴孟超嘛”,256173,1119,2023/5/2 10:35,6.9万,1.2万,7005,242,四川共青团,多名up主参与
狐 主 任 本 体 Ⅱ,358088,1168,2023/5/3 12:30,5.1万,7304,2300,528,知了解压萌物, 339.5万
古法抓鸡 一叶障目,458342,169,2023/5/2 21:13,5.9万,809,6023,3686,毛桃桃大眼袋, 51.5万
